imdb_id,runtime,budget,reveune,ratings
tt0113101,98,4000000,4300000,6.8
tt0076759,121,11000000,775398007,8.6
tt0266543,100,94000000,940335536,8.1
tt0109830,142,55000000,677945399,8.8
tt0169547,122,15000000,356296601,8.3
tt0033467,119,839727,23217674,8.3
tt0168629,140,12800000,40031879,8.0
tt0119116,126,90000000,263920180,7.7
tt0017136,153,92620000,650422,8.3
tt0325980,143,140000000,655011224,8.0
tt0266697,111,30000000,180949000,8.1
tt0418763,125,72000000,96889998,7.0
tt0411705,66,1000000,1574623,4.8
tt0078788,153,31500000,89460381,8.4
tt0105695,131,14000000,159157447,8.2
tt0462538,87,75000000,527068851,7.3
tt0338013,108,20000000,72258126,8.3
tt0245712,154,2000000,20908467,8.1
tt0383574,151,200000000,1065659812,7.3
tt0399146,96,32000000,60740827,7.4
tt0062622,149,10500000,68700000,8.3
tt0114746,129,29500000,168840000,8.0
tt0287467,112,9285469,51001550,7.9
tt0298203,110,41000000,215000000,7.1
tt0118548,121,50000000,50068310,6.7
tt0358273,136,28000000,186438883,7.8
tt0405159,132,30000000,216763646,8.1
tt0249462,110,5000000,110000000,7.7
tt0120586,119,20000000,23875127,8.5
tt0407304,116,132000000,591739379,6.5
tt0116996,106,70000000,101371017,6.3
tt0112471,105,2500000,5535405,8.1
tt0209144,113,9000000,39723096,8.4
tt0083658,117,28000000,33139618,8.1
tt0299977,99,31000000,177394432,7.9
tt0381681,80,2700000,15992615,8.0
tt0087544,117,1000000,3301446,8.1
tt0430357,134,135000000,163794509,6.0
tt0374102,79,130000,54667954,5.7
tt0082971,115,18000000,389925971,8.4
tt0087469,118,28000000,333000000,7.6
tt0092890,100,6000000,213954274,7.0
tt0097576,127,48000000,474171806,8.2
tt0086960,105,15000000,316360478,7.3
tt0120591,151,140000000,553799566,6.7
tt0092644,100,20000000,299965036,6.5
tt0084827,96,17000000,33000000,6.8
tt0172495,155,103000000,457640427,8.5
tt0185125,101,8272296,67872296,7.8
tt0120735,105,1350000,3897569,8.2
tt0110413,110,16000000,45284974,8.5
tt0075314,114,1300000,28262574,8.3
tt0130827,81,1530000,7267585,7.7
tt0088763,116,19000000,381109762,8.5
tt0093773,107,18000000,98235548,7.8
tt0208092,103,10000000,83557872,8.3
tt0086250,170,25000000,65884703,8.3
tt0100405,119,14000000,463000000,7.0
tt0118715,117,15000000,46189568,8.1
tt0416320,124,15000000,85306374,7.6
tt0094226,119,25000000,76270454,7.9
tt0367594,115,150000000,474968763,6.6
tt0120737,178,93000000,871368364,8.8
tt0167261,179,79000000,926287400,8.7
tt0167260,201,94000000,1118888979,8.9
tt0077869,132,4000000,30471420,6.2
tt0119698,134,26500000,159375308,8.4
tt0245429,125,15000000,274925095,8.6
tt0190590,106,26000000,71000000,7.7
tt0107048,101,14600000,70906973,8.0
tt0021814,72,355000,1012189,7.5
tt0275491,106,5000000,40266982,7.4
tt0246578,113,6000000,1270522,8.0
tt0388795,134,14000000,178043761,7.7
tt0093191,128,2500000,3200000,8.0
tt0190332,120,17000000,213525736,7.8
tt0094625,124,8000000,553171,8.1
tt0083511,96,12000000,78868508,6.9
tt0079945,132,35000000,139000000,6.4
tt0335266,102,4000000,119723856,7.7
tt0084726,113,12000000,96800000,7.7
tt0468569,152,185000000,1004558444,9.0
tt0088170,105,18000000,87000000,6.7
tt0240772,116,85000000,450717150,7.8
tt0099487,105,20000000,53000000,7.9
